Molecule,Pred Ki,Confidence,Pred Scale
327,46.51733154413012,Confident,+
328,6.640017509316942,Confident,+
329,47.744179163085185,Confident,+
330,19.516725268049836,Confident,+
331,19.516725268049836,Confident,+
332,45.2454529459551,Confident,+
333,45.2454529459551,Confident,+
334,45.2454529459551,Confident,+
335,45.2454529459551,Confident,+
336,15.377323303281509,Confident,+
337,15.377323303281509,Confident,+
338,15.377323303281509,Confident,+
339,45.2454529459551,Confident,+
340,68.15742998153175,Confident,++
341,23.241138240657413,Confident,+
342,4.6805986469470975,Confident,+
343,9.190814630282114,Confident,+
344,25.446175627243985,Confident,+
345,22.70796856517274,Confident,+
346,469.37062966810635,Confident,++
347,632.0956913803119,Confident,+++
348,22.35469276861175,Confident,+
349,20.85038774830747,Confident,+
350,27.41804757336576,Confident,+
351,59.82854856578007,Confident,++
352,37.03942966735266,Confident,+
353,115.14102607900053,Confident,++
354,23.439437944161213,Confident,+
355,8.708505995758914,Confident,+
356,22.70796856517274,Confident,+
357,36.741561058952705,Confident,+
358,19.344524404182785,Confident,+
359,19.344524404182785,Confident,+
360,30.885991584134835,Confident,+
361,19.344524404182785,Confident,+
362,8.708505995758914,Confident,+
363,58.933262177019,Confident,++
364,40.458560363407614,Confident,+
365,23.719889209996598,Confident,+
366,48.43145960313241,Confident,+
367,125.42549654111818,Confident,++
368,458.59818961595823,Confident,++
369,458.59818961595823,Confident,++
370,27.893773319415832,Confident,+
371,18.19701857225662,Confident,+
372,458.59818961595823,Confident,++
373,76.10789843215163,Confident,++
374,44.04958271588726,Confident,+
375,52.17340483226511,Confident,++
376,3.912411138730375,Confident,+
377,38.80780878941282,Confident,+
378,26.964654910357588,Confident,+
379,12.143103921756698,Confident,+
380,12.143103921756698,Confident,+
381,12.143103921756698,Confident,+
382,65.28935904110368,Confident,++
383,18.158165619565704,Confident,+
384,18.158165619565704,Confident,+
385,9.220927856147677,Confident,+
386,49.10822775992947,Confident,+
387,686.4199657187999,Confident,+++
388,230.72720541874318,Confident,++
389,504.96632647912423,Confident,+++
390,30.278696480856475,Confident,+
391,117.12433934694504,Confident,++
392,282.7646587814573,Confident,++
393,27.663344472710076,Confident,+
394,45.90919697119876,Confident,+
395,6.451591478255132,Confident,+
396,144.9611837129196,Confident,++
397,73.18082461286411,Confident,++
398,25.713695916497063,Confident,+
399,25.713695916497063,Confident,+
400,37.55650754656906,Confident,+
401,17.87657927013482,Confident,+
402,17.87657927013482,Confident,+
403,17.01750393403809,Confident,+
404,17.01750393403809,Confident,+
405,37.50342942274338,Confident,+
406,88.21854290812483,Confident,++
407,47.15551717841987,Confident,+
408,11.483043914748036,Confident,+
409,11.483043914748036,Confident,+
410,29.03242428535772,Confident,+
411,15.30116184494045,Confident,+
412,7.7736026797135125,Confident,+
413,30.735913845354986,Confident,+
414,31.604729634267688,Confident,+
415,15.249352639052209,Confident,+
416,15.249352639052209,Confident,+
417,42.44916309936981,Confident,+
418,49.834897419612595,Confident,+
419,155.56986950411996,Confident,++
420,81.25805518249732,Confident,++
421,77.36900629650388,Confident,++
422,41.972606974481785,Confident,+
423,3.8220051987354267,Confident,+
