iter	Passed	Remaining
773	8420	2458
774	8431	2447
775	8443	2437
776	8453	2426
777	8464	2415
778	8475	2404
779	8486	2393
780	8496	2382
781	8507	2371
782	8519	2361
783	8529	2350
784	8540	2339
785	8551	2328
786	8563	2317
787	8573	2306
788	8584	2295
789	8595	2284
790	8606	2274
791	8617	2263
792	8627	2252
793	8638	2241
794	8649	2230
795	8660	2219
796	8671	2208
797	8682	2197
798	8693	2186
799	8704	2176
800	8714	2164
801	8726	2154
802	8736	2143
803	8747	2132
804	8758	2121
805	8769	2110
806	8780	2099
807	8791	2089
808	8801	2077
809	8813	2067
810	8824	2056
811	8834	2045
812	8845	2034
813	8857	2023
814	8868	2013
815	8879	2002
816	8890	1991
817	8901	1980
818	8912	1969
819	8923	1958
820	8933	1947
821	8945	1937
822	8956	1926
823	8966	1915
824	8977	1904
825	8988	1893
826	8999	1882
827	9010	1871
828	9021	1860
829	9032	1850
830	9043	1839
831	9055	1828
832	9065	1817
833	9076	1806
834	9087	1795
835	9097	1784
836	9108	1773
837	9119	1762
838	9130	1752
839	9142	1741
840	9153	1730
841	9164	1719
842	9175	1708
843	9185	1697
844	9196	1686
845	9207	1676
846	9219	1665
847	9229	1654
848	9240	1643
849	9251	1632
850	9262	1621
851	9272	1610
852	9282	1599
853	9294	1588
854	9305	1578
855	9315	1567
856	9326	1556
857	9336	1545
858	9347	1534
859	9358	1523
860	9369	1512
861	9379	1501
862	9390	1490
863	9401	1479
864	9412	1469
865	9423	1458
866	9434	1447
867	9445	1436
868	9456	1425
869	9467	1414
870	9477	1403
871	9488	1392
872	9499	1382
873	9510	1371
874	9521	1360
875	9531	1349
876	9542	1338
877	9554	1327
878	9564	1316
879	9575	1305
880	9586	1294
881	9597	1284
882	9608	1273
883	9619	1262
884	9630	1251
885	9641	1240
886	9652	1229
887	9662	1218
888	9673	1207
889	9684	1196
890	9695	1186
891	9706	1175
892	9718	1164
893	9729	1153
894	9740	1142
895	9750	1131
896	9762	1120
897	9772	1110
898	9784	1099
899	9794	1088
900	9805	1077
901	9816	1066
902	9827	1055
903	9838	1044
904	9848	1033
905	9859	1022
906	9871	1012
907	9882	1001
908	9894	990
909	9904	979
910	9915	968
911	9925	957
912	9936	946
913	9947	935
914	9958	925
915	9969	914
916	9979	903
917	9990	892
918	10002	881
919	10012	870
920	10024	859
921	10035	848
922	10046	838
923	10056	827
924	10067	816
925	10078	805
926	10089	794
927	10100	783
928	10111	772
929	10122	761
930	10134	751
931	10144	740
932	10155	729
933	10166	718
934	10177	707
935	10188	696
936	10199	685
937	10210	674
938	10220	663
939	10232	653
940	10243	642
941	10254	631
942	10265	620
943	10276	609
944	10287	598
945	10297	587
946	10308	576
947	10320	566
948	10331	555
949	10342	544
950	10353	533
951	10363	522
952	10374	511
953	10386	500
954	10396	489
955	10407	479
956	10418	468
957	10428	457
958	10440	446
959	10451	435
960	10462	424
961	10473	413
962	10484	402
963	10495	391
964	10507	381
965	10517	370
966	10528	359
967	10539	348
968	10549	337
969	10560	326
970	10570	315
971	10582	304
972	10593	293
973	10603	283
974	10615	272
975	10626	261
976	10637	250
977	10648	239
978	10659	228
979	10670	217
980	10681	206
981	10692	195
982	10702	185
983	10713	174
984	10724	163
985	10735	152
986	10746	141
987	10757	130
988	10768	119
989	10779	108
990	10789	97
991	10800	87
992	10811	76
993	10823	65
994	10834	54
995	10844	43
996	10855	32
997	10867	21
998	10878	10
999	10889	0
